transaction_id,date,account_number,account_name,amount,class,location,memo
TXN-1050,2026-03-02,2200,Credit Card Payable,-1778.6,Engineering,Miami,LLM and data API usage fees - Credit
TXN-1097,2026-03-02,6100,Sales Commissions,5981.93,Sales,Miami,Sales commission payout accrual - Debit
TXN-1097,2026-03-02,2120,Accrued Commissions,-5981.93,Sales,Miami,Sales commission payout accrual - Credit
TXN-1033,2026-03-03,1100,Accounts Receivable,2306.54,Sales,Miami,Monthly API usage billing - Debit
TXN-1033,2026-03-03,4030,Usage-Based Revenue,-2306.54,Sales,Miami,Monthly API usage billing - Credit
TXN-1016,2026-03-04,5010,Third-Party API Costs,1940.55,Engineering,San Francisco,LLM and data API usage fees - Debit
TXN-1016,2026-03-04,2200,Credit Card Payable,-1940.55,Engineering,San Francisco,LLM and data API usage fees - Credit
TXN-1047,2026-03-05,5020,Customer Support,3046.15,HR,Miami,Outsourced 24/7 customer support team invoice - Debit
TXN-1047,2026-03-05,2000,Accounts Payable,-3046.15,HR,Miami,Outsourced 24/7 customer support team invoice - Credit
TXN-1076,2026-03-05,1000,Operating Checking,7719.89,Admin,San Francisco,Customer invoice payment received - Debit
TXN-1076,2026-03-05,1100,Accounts Receivable,-7719.89,Admin,San Francisco,Customer invoice payment received - Credit
TXN-1026,2026-03-06,6700,Research & Development,12468.58,Engineering,San Francisco,Specialized R&D cloud environment & hardware testing - Debit
TXN-1026,2026-03-06,2000,Accounts Payable,-12468.58,Engineering,San Francisco,Specialized R&D cloud environment & hardware testing - Credit
TXN-1021,2026-03-09,5000,Hosting & Cloud Infrastructure,7452.79,Engineering,San Francisco,Monthly cloud hosting & infrastructure invoice - Debit
TXN-1021,2026-03-09,2000,Accounts Payable,-7452.79,Engineering,San Francisco,Monthly cloud hosting & infrastructure invoice - Credit
TXN-1029,2026-03-09,6000,Salaries & Wages,13381.58,HR,San Francisco,HR team salary & recruiter placement fee - Debit
TXN-1029,2026-03-09,1000,Operating Checking,-13381.58,HR,San Francisco,HR team salary & recruiter placement fee - Credit
TXN-1052,2026-03-09,6300,Rent & Office,6780.37,HR,Miami,Monthly office lease payment - Debit
TXN-1052,2026-03-09,1000,Operating Checking,-6780.37,HR,Miami,Monthly office lease payment - Credit
TXN-1067,2026-03-09,1000,Operating Checking,17904.54,Finance,New York,Customer invoice payment received - Debit
TXN-1067,2026-03-09,1100,Accounts Receivable,-17904.54,Finance,New York,Customer invoice payment received - Credit
TXN-1006,2026-03-13,1100,Accounts Receivable,19331.97,Sales,San Francisco,Monthly SaaS subscription billing - Debit
TXN-1006,2026-03-13,4000,Subscription Revenue,-19331.97,Sales,San Francisco,Monthly SaaS subscription billing - Credit
TXN-1068,2026-03-14,6600,Depreciation Expense,1158.07,Admin,Miami,Monthly laptop & office equipment depreciation - Debit
TXN-1068,2026-03-14,1510,Accumulated Depreciation,-1158.07,Admin,Miami,Monthly laptop & office equipment depreciation - Credit
TXN-1028,2026-03-17,6230,Accounting Fees,2632.63,Finance,San Francisco,External audit and tax compliance fees - Debit
TXN-1028,2026-03-17,2000,Accounts Payable,-2632.63,Finance,San Francisco,External audit and tax compliance fees - Credit
TXN-1030,2026-03-18,6000,Salaries & Wages,11698.67,HR,New York,HR team salary & recruiter placement fee - Debit
TXN-1030,2026-03-18,1000,Operating Checking,-11698.67,HR,New York,HR team salary & recruiter placement fee - Credit
TXN-1081,2026-03-20,5030,Payment Processing Fees,723.55,Finance,New York,Stripe processing fees auto-deducted - Debit
TXN-1081,2026-03-20,1000,Operating Checking,-723.55,Finance,New York,Stripe processing fees auto-deducted - Credit
TXN-1090,2026-03-21,6230,Accounting Fees,3304.73,Finance,San Francisco,External audit and tax compliance fees - Debit
TXN-1090,2026-03-21,2000,Accounts Payable,-3304.73,Finance,San Francisco,External audit and tax compliance fees - Credit
TXN-1004,2026-05-10,6600,Depreciation Expense,845.11,Finance,San Francisco,Monthly laptop & office equipment depreciation - Debit
TXN-1004,2026-05-10,1510,Accumulated Depreciation,-845.11,Finance,San Francisco,Monthly laptop & office equipment depreciation - Credit
TXN-1036,2026-05-16,6600,Depreciation Expense,1519.33,Finance,San Francisco,Monthly laptop & office equipment depreciation - Debit
TXN-1036,2026-05-16,1510,Accumulated Depreciation,-1519.33,Finance,San Francisco,Monthly laptop & office equipment depreciation - Credit
TXN-1063,2026-05-18,5020,Customer Support,4782.37,Admin,New York,Outsourced 24/7 customer support team invoice - Debit
TXN-1063,2026-05-18,2000,Accounts Payable,-4782.37,Admin,New York,Outsourced 24/7 customer support team invoice - Credit
TXN-1043,2026-05-19,5000,Hosting & Cloud Infrastructure,14126.94,Engineering,Miami,Monthly cloud hosting & infrastructure invoice - Debit
TXN-1043,2026-05-19,2000,Accounts Payable,-14126.94,Engineering,Miami,Monthly cloud hosting & infrastructure invoice - Credit
TXN-1054,2026-05-19,1100,Accounts Receivable,6109.82,Sales,Miami,Monthly API usage billing - Debit
TXN-1054,2026-05-19,4030,Usage-Based Revenue,-6109.82,Sales,Miami,Monthly API usage billing - Credit
TXN-1065,2026-05-20,6100,Sales Commissions,11981.01,Sales,San Francisco,Sales commission payout accrual - Debit
TXN-1065,2026-05-20,2120,Accrued Commissions,-11981.01,Sales,San Francisco,Sales commission payout accrual - Credit
TXN-1066,2026-05-22,6100,Sales Commissions,16942.22,Sales,Miami,Sales commission payout accrual - Debit
TXN-1066,2026-05-22,2120,Accrued Commissions,-16942.22,Sales,Miami,Sales commission payout accrual - Credit
TXN-1074,2026-05-22,5000,Hosting & Cloud Infrastructure,10017.01,Engineering,New York,Monthly cloud hosting & infrastructure invoice - Debit
TXN-1074,2026-05-22,2000,Accounts Payable,-10017.01,Engineering,New York,Monthly cloud hosting & infrastructure invoice - Credit
TXN-1022,2026-05-30,6230,Accounting Fees,5591.29,Finance,New York,External audit and tax compliance fees - Debit
TXN-1022,2026-05-30,2000,Accounts Payable,-5591.29,Finance,New York,External audit and tax compliance fees - Credit
TXN-1055,2026-05-30,6400,Travel & Entertainment,1807.98,Engineering,Miami,Client travel & team offsite flights/hotel - Debit
TXN-1055,2026-05-30,2200,Credit Card Payable,-1807.98,Engineering,Miami,Client travel & team offsite flights/hotel - Credit
TXN-1040,2026-05-31,6700,Research & Development,5531.26,Engineering,Miami,Specialized R&D cloud environment & hardware testing - Debit
TXN-1040,2026-05-31,2000,Accounts Payable,-5531.26,Engineering,Miami,Specialized R&D cloud environment & hardware testing - Credit
TXN-1057,2026-06-02,1100,Accounts Receivable,11102.55,Sales,New York,Onboarding & implementation services fee - Debit
TXN-1057,2026-06-02,4010,Implementation Revenue,-11102.55,Sales,New York,Onboarding & implementation services fee - Credit
TXN-1009,2026-06-04,6000,Salaries & Wages,38635.23,Engineering,San Francisco,Engineering team bi-weekly payroll - Debit
TXN-1009,2026-06-04,2110,Accrued Payroll,-38635.23,Engineering,San Francisco,Engineering team bi-weekly payroll - Credit
TXN-1086,2026-06-05,6000,Salaries & Wages,6272.1,HR,New York,HR team salary & recruiter placement fee - Debit
TXN-1086,2026-06-05,1000,Operating Checking,-6272.1,HR,New York,HR team salary & recruiter placement fee - Credit
TXN-1094,2026-06-05,6200,Advertising & Marketing,6382.38,Sales,San Francisco,Google & LinkedIn ad spend - Debit
TXN-1094,2026-06-05,2200,Credit Card Payable,-6382.38,Sales,San Francisco,Google & LinkedIn ad spend - Credit
TXN-1011,2026-06-08,6210,Software Subscriptions,2703.75,Engineering,Miami,Software subscription license renewal - Debit
TXN-1011,2026-06-08,2200,Credit Card Payable,-2703.75,Engineering,Miami,Software subscription license renewal - Credit
TXN-1059,2026-06-08,1100,Accounts Receivable,8030.7,Admin,New York,Onboarding & implementation services fee - Debit
TXN-1059,2026-06-08,4010,Implementation Revenue,-8030.7,Admin,New York,Onboarding & implementation services fee - Credit
TXN-1001,2026-06-13,1000,Operating Checking,1475.2,Admin,Miami,Customer invoice payment received - Debit
TXN-1001,2026-06-13,1100,Accounts Receivable,-1475.2,Admin,Miami,Customer invoice payment received - Credit
TXN-1083,2026-06-14,6000,Salaries & Wages,9396.46,HR,Miami,HR team salary & recruiter placement fee - Debit
TXN-1083,2026-06-14,1000,Operating Checking,-9396.46,HR,Miami,HR team salary & recruiter placement fee - Credit
TXN-1005,2026-06-16,6700,Research & Development,7614.72,Engineering,San Francisco,Specialized R&D cloud environment & hardware testing - Debit
TXN-1005,2026-06-16,2000,Accounts Payable,-7614.72,Engineering,San Francisco,Specialized R&D cloud environment & hardware testing - Credit
TXN-1038,2026-06-16,6210,Software Subscriptions,2111.93,Admin,New York,Software subscription license renewal - Debit
TXN-1038,2026-06-16,2200,Credit Card Payable,-2111.93,Admin,New York,Software subscription license renewal - Credit
TXN-1020,2026-06-17,6400,Travel & Entertainment,1507.77,Admin,Miami,Client travel & team offsite flights/hotel - Debit
TXN-1020,2026-06-17,2200,Credit Card Payable,-1507.77,Admin,Miami,Client travel & team offsite flights/hotel - Credit
TXN-1035,2026-06-18,6400,Travel & Entertainment,3051.18,Finance,New York,Client travel & team offsite flights/hotel - Debit
TXN-1035,2026-06-18,2200,Credit Card Payable,-3051.18,Finance,New York,Client travel & team offsite flights/hotel - Credit
TXN-1012,2026-06-19,5030,Payment Processing Fees,1768.83,Finance,Miami,Stripe processing fees auto-deducted - Debit
TXN-1012,2026-06-19,1000,Operating Checking,-1768.83,Finance,Miami,Stripe processing fees auto-deducted - Credit
TXN-1061,2026-06-21,6100,Sales Commissions,9586.98,Sales,Miami,Sales commission payout accrual - Debit
TXN-1061,2026-06-21,2120,Accrued Commissions,-9586.98,Sales,Miami,Sales commission payout accrual - Credit
TXN-1079,2026-06-21,5030,Payment Processing Fees,806.93,Finance,New York,Stripe processing fees auto-deducted - Debit
TXN-1079,2026-06-21,1000,Operating Checking,-806.93,Finance,New York,Stripe processing fees auto-deducted - Credit
TXN-1015,2026-06-24,1100,Accounts Receivable,10309.57,Sales,San Francisco,Onboarding & implementation services fee - Debit
TXN-1015,2026-06-24,4010,Implementation Revenue,-10309.57,Sales,San Francisco,Onboarding & implementation services fee - Credit
TXN-1069,2026-06-25,6000,Salaries & Wages,28678.5,Engineering,Miami,Engineering team bi-weekly payroll - Debit
TXN-1069,2026-06-25,2110,Accrued Payroll,-28678.5,Engineering,Miami,Engineering team bi-weekly payroll - Credit
TXN-1017,2026-06-26,6700,Research & Development,5415.77,Engineering,Miami,Specialized R&D cloud environment & hardware testing - Debit
TXN-1017,2026-06-26,2000,Accounts Payable,-5415.77,Engineering,Miami,Specialized R&D cloud environment & hardware testing - Credit
TXN-1037,2026-06-26,5020,Customer Support,5921.22,HR,San Francisco,Outsourced 24/7 customer support team invoice - Debit
TXN-1037,2026-06-26,2000,Accounts Payable,-5921.22,HR,San Francisco,Outsourced 24/7 customer support team invoice - Credit
TXN-1100,2026-06-28,6220,Professional Fees,4960.64,Admin,Miami,Legal counsel advisory & contract review - Debit
TXN-1100,2026-06-28,2000,Accounts Payable,-4960.64,Admin,Miami,Legal counsel advisory & contract review - Credit
